,precision,recall,f1-score,support
FLB,1.0,1.0,1.0,19.0
LACP,0.0,0.0,0.0,1.0
LLB,1.0,1.0,1.0,21.0
LOCA,1.0,1.0,1.0,21.0
LOCAC,1.0,1.0,1.0,22.0
LOF,0.0,0.0,0.0,0.0
LR,1.0,1.0,1.0,24.0
MD,1.0,0.92,0.9583333333333334,25.0
RI,1.0,1.0,1.0,13.0
RW,1.0,1.0,1.0,22.0
SGATR,1.0,1.0,1.0,17.0
SGBTR,1.0,1.0,1.0,24.0
SLBIC,1.0,1.0,1.0,17.0
SLBOC,0.9,1.0,0.9473684210526315,18.0
accuracy,0.9877049180327869,0.9877049180327869,0.9877049180327869,0.9877049180327869
macro avg,0.85,0.8514285714285714,0.8504072681704261,244.0
weighted avg,0.9885245901639343,0.9877049180327869,0.9877498561978718,244.0
